school_name_x,year,pta_start_balance,pta_income,pta_expenditure,pta_end_balance
Bronx Academy for Multi-Media,2022,0.0,236.0,0.0,236.0
Brooklyn Landmark Elementary School,2021,9242.41,0.0,0.0,9242.41
Brooklyn Studio Secondary School,2019,51.7909,11739.87,8734.67,3005.2
Channel View School for Research,2019,58.4099,10181.44,4280.11,5901.33
Creston Academy,2019,3.6658,5696.83,4528.71,1168.12
Flushing International High School,2022,177.0,3200.0,120.0,3257.0
Franklin Delano Roosevelt High School,2022,1924.84,1525.0,984.84,2508.0
Grover Cleveland High School,2025,36.1985009765625,11040.7802734375,7038.25,4002.530029296875
High School for Health Professions and Human Servi,2025,2.460099945068359,1349.4000244140625,709.0,648.3099975585938
High School for Media and Communications,2019,0.0,23600.0,22575.33,1024.67
High School of Economics and Finance,2020,322.0,0.0,0.0,322.0
Hillcrest High School,2019,339.64,20267.53,1716.46,351.07
I.S. 024 Myra S. Barnes,2025,50.0,154178.46875,111669.7578125,42508.7109375
I.S. 145 Joseph Pulitzer,2019,3550.91,15888.81,12589.88,2929.3
I.S. 192 The Linden,2025,8.56280029296875,17332.279296875,13644.990234375,3687.260009765625
I.S. 254,2022,2263.99,300.0,2509.89,54.1
I.S. 281 Joseph B Cavallaro,2021,5799.59,0.0,4458.4,1341.19
J.H.S. 014 Shell Bank,2024,17.84,3429.66,925.37,2504.29
J.H.S. 118 William W. Niles,2019,7.953200000000001,2088.82,2086.3,2.52
J.H.S. 118 William W. Niles,2020,0.0,231.25,0.0,231.25
J.H.S. 220 John J. Pershing,2020,3766.360107421875,2243.0,4696.81982421875,1312.5400390625
J.H.S. 292 Margaret S. Douglas,2024,380.0,1540.0,1540.0,40.0
Long Island City High School,2024,927.0,1020.0,15.78,1931.22
Long Island City High School,2025,1931.219970703125,0.0,1930.0,1.2200000286102295
Madiba Prep Middle School,2023,793.95,3421.25,4057.48,157.72
"Mathematics, Science Research and Technology Magne",2020,82.0999984741211,31.950000762939453,0.0,114.05000305175781
Naples Street Elementary School,2022,36675.34,101145.64,109636.21,28184.77
New Heights Middle School,2025,8437.83984375,0.0,1747.050048828125,6690.2900390625
P.S. 007 Abraham Lincoln,2019,2990.07,5476.7,6272.06,2194.71
P.S. 008 Isaac Varian,2024,4296.61,11212.29,7486.83,8022.07
P.S. 017 Henry D. Woodworth,2025,7865.509765625,52.828798828125,7407.9501953125,457.1499938964844
P.S. 029 Bardwell,2025,16846.869140625,52525.859375,53073.8515625,20398.869140625
P.S. 062 Inocensio Casanova,2025,1115.1800537109375,6418.47998046875,4749.06982421875,166941.0
P.S. 063 Author's Academy,2021,1312.11,0.0,0.0,1312.11
P.S. 066 Jacqueline Kennedy Onassis,2025,10061.099609375,2676.330078125,4141.7900390625,8595.6396484375
P.S. 071 Forest,2024,190.68,28581.27,279976.21,584.06
P.S. 087 Bronx,2019,4753.52,3260.11,6114.11,1869.52
P.S. 092 Mary McLeod Bethune,2019,362.83,6408.92,6455.2,46.08
P.S. 115 Alexander Humboldt,2019,0.2,1566.0,646.0,920.0
P.S. 115 Alexander Humboldt,2020,1.0,5532.0,5337.0,195.0
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elemen",2024,39863.59,77685.71,73163.0,44386.3
P.S. 134 George F. Bristow,2022,2299.94,3259.5,5575.55,-16.11
P.S. 146 Edward Collins,2021,1928.26,0.0,0.0,1928.26
P.S. 149 Christa McAuliffe,2020,3298.89990234375,25779.16015625,28678.75,399.30999755859375
P.S. 149 Danny Kaye,2020,163.5,0.0,0.0,163.0500030517578
P.S. 150 Charles James Fox,2021,3012.64,0.0,90.0,2622.64
P.S. 153 Homecrest,2025,6591.0,23056.060546875,1939506.0,3661.0
P.S. 156 Waverly,2022,12890.52,5859.13,9154.68,7478.71
P.S. 159 Isaac Pitkin,2019,3407.32,2.0,3405.32,2.0
P.S. 186 Dr. Irving A Gladstone,2022,18262.19,28877.19,11602.82,16274.37
P.S. 192 - The Magnet School for Math and Science,2022,4759.15,7616.6,10727.96,1647.79
P.S. 202 Ernest S. Jenkyns,2019,10.443499999999998,3349.95,3148.03,201.92
P.S. 202 Ernest S. Jenkyns,2020,2.0194000244140624,4161.0,2166.840087890625,1994.1600341796875
P.S. 211,2019,4.92,2176.0,1950.0,226.0
P.S. 214 Michael Friedsam,2023,17.995,23740.3,18108.76,5631.54
P.S. 222 Katherine R. Snyder,2020,28763.8203125,60819.51171875,58157.94921875,31425.380859375
P.S. 226,2019,527.74,6476.42,6982.87,21.29
P.S. 229 Emanuel Kaplan,2021,21933.55,11787.23,22992.3,10728.48
P.S. 249 The Caton,2023,400.0,0.0,0.0,400.0
P.S. 253,2019,2.0185,3339.77,3124.95,214.82
P.S. 253,2025,3818.1201171875,20446.8203125,14453.3896484375,9811.25
P.S. 306 Ethan Allen,2025,33.9956005859375,8625.6201171875,6529.7900390625,2095.830078125
P.S. 329 Surfside,2019,244.26,202.0,165.0,281.26
P.S. 340,2023,3439.49,2000.27,1000.0,4439.66
P.S. 39 Francis J. Murphy Jr.,2020,11184.0,930.0,3352.110107421875,8762.8095703125
P.S. 506: The School of Journalism & Technology,2023,1360.33,9558.0,9412.42,1505.91
P.S. 536,2019,200.0,11331.75,1650.0,2269.0
P.S. Q086,2019,13.798599999999999,13512.13,11818.95,1693.18
P.S. X140 The Eagle School,2020,2251.43994140625,1500.0,3753.219970703125,1.7799999713897705
"PS/MS 20 P.O.George J. Werdann, III",2025,3189.6201171875,8231.099609375,9224.4404296875,2196.280029296875
Pugsley Preparatory Academy,2023,3475.19,0.0,0.0,3475.19
"Queens High School for Information, Research, and",2019,103.0,0.0,43.12,59.88
"Queens High School of Teaching, Liberal Arts and t",2020,25.89449951171875,5081.919921875,1560.9100341796875,3521.010009765625
"Queens School of Inquiry, The",2022,2561.36,46017.8,183.0,2516.16
Robert F. Kennedy Community High School,2025,17.50969970703125,3878.719970703125,2606.6201171875,1272.0999755859375
School for Classics High School,2019,285.0,0.0,0.0,285.0
