,dbn,school_name_x,year,district,school_type,total_enrollment,borough,in_sample,p_asian,p_black,p_hispanic,p_multiple_race_categories_not_represented,p_white,p_other_race,p_students_with_disabilities,p_english_language_learners,p_poverty,economic_need_index,eni_n,weighted_register_allocation,total_fsf_allocations,non_fsf_budget_allocations,total_budget_allocation,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,pta_category,pta_active,p_multi_racial,p_native_american,p_missing_race_ethnicity_data,correction_applied,balance_wy_diff_post,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff,ets_balance_pct_diff,ets_balance_diff_cat,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag,pp_fsf,pp_non_fsf,pp_total_allocations,pp_pta_income,pp_pta_expenditure,pp_pta_start_balance,pp_pta_end_balance,log_pp_pta_end_balance,pta_expenditure_as_p_of_fsf,pta_expenditure_as_p_of_budget,eni_quintile,pp_pta_income_quintile,pp_pta_expenditure_quintile,pp_pta_end_balance_quintile
0,01M015,P.S. 015 Roberto Clemente,2019,01,Elementary School,174.0,M,True,0.138,0.276,0.546,0.006,0.034,0.005999999999999922,0.224,0.046,84.5%,88.8%,0.888,5736241.0,2293754.0,3442487.0,5736241.0,276.0,0.0,5.66,281.66,Active,1.0,,,,none,0.0,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,13182.494252873563,19784.408045977012,32966.902298850575,1.5862068965517242,0.0,0.032528735632183906,1.6187356321839081,1.721830684162325,0.0,0.0,Q4,Q1,Q1,Q2
1,01M019,P.S. 019 Asher Levy,2019,01,Elementary School,249.0,M,True,0.056,0.209,0.627,0.036,0.072,0.03600000000000004,0.41,0.032,73.5%,68.7%,0.687,7769678.0,2791254.0,4978424.0,7769678.0,22318.82,13964.36,85.0,8354.46,Active,1.0,,,,start_balance_div100,85.0,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11209.855421686747,19993.670682730924,31203.52610441767,89.63381526104418,56.081767068273095,0.3413654618473896,33.55204819277108,3.6250892901245404,0.5002898338882811,0.17972894114788282,Q2,Q4,Q4,Q4
2,01M020,P.S. 020 Anna Silver,2019,01,Elementary School,481.0,M,True,0.287,0.137,0.497,0.033,0.046,0.03300000000000003,0.243,0.131,67.8%,75.4%,0.754,9004511.0,4994790.0,4009721.0,9004511.0,101140.91,93918.84,30303.69,37525.76,Active,1.0,,,,none,7.275957614183426e-12,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10384.178794178793,8336.218295218296,18720.39708939709,210.27216216216218,195.2574636174636,63.00143451143451,78.01613305613306,4.406623617810913,1.8803361102268563,1.043019881923627,Q2,Q5,Q5,Q5
3,01M034,P.S. 034 Franklin D. Roosevelt,2019,01,K-8 School,305.0,M,True,0.026,0.334,0.597,0.013,0.03,0.012999999999999953,0.384,0.072,Above 95%,94.8%,0.948,7772482.0,4397629.0,3374853.0,7772482.0,8439.93,7720.16,0.4954,719.77,Active,1.0,,,,start_balance_div100,0.4954000000002452,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,14418.455737704919,11065.091803278689,25483.547540983607,27.671901639344263,25.312,0.0016242622950819673,2.3599016393442622,1.846236187112104,0.17555278082803255,0.09932683021974191,Q5,Q3,Q3,Q2
4,01M063,The STAR Academy - P.S.63,2019,01,Elementary School,230.0,M,True,0.017,0.196,0.652,0.039,0.096,0.03900000000000002,0.335,0.017,77.0%,73.7%,0.737,5738967.0,3044993.0,2693974.0,5738967.0,13400.62,12569.66,11919.01,12749.97,Active,1.0,,,,none,1.8189894035458565e-12,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,13239.1,11712.93043478261,24952.03043478261,58.26356521739131,54.650695652173916,51.821782608695656,55.434652173913044,4.084473972461431,0.4127976648878996,0.21902304020915264,Q2,Q4,Q4,Q5
5,01M064,P.S. 064 Robert Simon,2019,01,Elementary School,223.0,M,True,0.031,0.184,0.713,0.018,0.054,0.018000000000000092,0.287,0.027,86.5%,89.5%,0.895,5519577.0,2698125.0,2821452.0,5519577.0,5712.5,6259.0,2084.79,1538.29,Active,1.0,,,,none,0.0,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,12099.215246636772,12652.251121076233,24751.466367713005,25.616591928251122,28.067264573991032,9.348834080717488,6.898161434977578,2.3863918283055843,0.23197590919620106,0.11339637077261537,Q4,Q3,Q4,Q3
6,01M110,P.S. 110 Florence Nightingale,2019,01,Elementary School,372.0,M,True,0.159,0.099,0.452,0.032,0.258,0.032,0.121,0.022,56.7%,59.4%,0.594,5249431.0,3201901.0,2047530.0,5249431.0,4457595.0,6669346.0,61617.51,39600.0,Active,1.0,,,,unresolvable,2189733.49,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,8607.260752688173,5504.112903225807,14111.373655913978,11982.782258064517,17928.34946236559,165.6384677419355,106.45161290322581,4.704360452210481,208.29332324765818,127.04893158896651,Q2,Q5,Q5,Q5
7,01M134,P.S. 134 Henrietta Szold,2019,01,Elementary School,281.0,M,True,0.096,0.26,0.601,0.011,0.032,0.01100000000000001,0.431,0.085,93.6%,91.6%,0.9159999999999999,7999494.0,3966931.0,4032563.0,7999494.0,21957.09,19981.63,98.5299,1975.46,Active,1.0,,,,start_balance_div100,98.52990000000045,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,14117.192170818505,14350.758007117438,28467.95017793594,78.1391103202847,71.10900355871887,0.3506402135231317,7.030106761565836,2.398452614290346,0.5037050052042751,0.24978617397550396,Q5,Q4,Q4,Q3
8,01M140,P.S. 140 Nathan Straus,2019,01,K-8 School,385.0,M,True,0.044,0.14,0.792,0.0,0.023,0.0009999999999999523,0.377,0.112,86.5%,90.0%,0.9,7914302.0,4736304.0,3177998.0,7914302.0,10015.9,9997.66,3.85,18.24,Active,1.0,,,,start_balance_div100,3.850000000000147,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,12302.088311688312,8254.540259740259,20556.628571428573,26.015324675324674,25.967948051948053,0.01,0.04737662337662337,1.3921278946793252,0.2110856904455457,0.126323963882096,Q4,Q3,Q3,Q1
9,01M142,P.S. 142 Amalia Castro,2019,01,Elementary School,353.0,M,True,0.037,0.156,0.773,0.02,0.014,0.019999999999999955,0.368,0.074,Above 95%,91.2%,0.912,8380853.0,4096739.0,4284114.0,8380853.0,1594.0,1370.09,0.0,223.1,Active,1.0,,,,unresolvable,0.8100000000000875,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11605.492917847025,12136.300283286118,23741.793201133143,4.515580736543909,3.8812747875354106,0.0,0.6320113314447592,1.52780196048598,0.033443429029772216,0.016347858624891763,Q4,Q2,Q2,Q1
