,Unnamed: 0,dbn,school_name_x,year,district,school_type,total_enrollment,borough,in_sample,p_asian,p_black,p_hispanic,p_multiple_race_categories_not_represented,p_white,p_other_race,p_students_with_disabilities,p_english_language_learners,p_poverty,economic_need_index,eni_n,weighted_register_allocation,total_fsf_allocations,non_fsf_budget_allocations,total_budget_allocation,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,pta_category,pta_active,p_multi_racial,p_native_american,p_missing_race_ethnicity_data,correction_applied,pta_end_balance_implied,pta_end_balance_diff,pta_end_balance_pct_diff,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff,ets_balance_pct_diff,ets_balance_diff_cat,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag,pp_fsf,pp_non_fsf,pp_total_public,pp_pta_income,pp_pta_expenditure,pp_pta_start_balance,pp_pta_end_balance,pp_total_funding,pta_expenditure_as_p_of_fsf,pta_expenditure_as_p_of_public,pta_expenditure_as_p_of_total,eni_quintile,pp_pta_income_quintile,pp_pta_expenditure_quintile,pp_pta_end_balance_quintile
6,6,01M110,P.S. 110 Florence Nightingale,2019,1.0,Elementary School,372.0,M,True,0.159,0.099,0.452,0.032,0.258,0.032,0.121,0.022,56.7%,59.4%,0.594,5249431.0,3201901.0,2047530.0,5249431.0,4457595.0,6669346.0,61617.51,39600.0,Active,1.0,,,,unresolvable,-2150133.49,2189733.49,55.296300252525256,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,8607.260752688173,5504.112903225807,14111.373655913978,11982.782258064515,17928.34946236559,165.6384677419355,106.4516129032258,32039.72311827957,208.29332324765815,127.04893158896652,55.95663044958387,Q2,Q5,Q5,Q5
31,31,02M006,P.S. 006 Lillie D. Blake,2019,2.0,Elementary School,671.0,M,True,0.171,0.024,0.061,0.016,0.727,0.017,0.168,0.033,12.4%,10.5%,0.105,9273169.0,5243660.0,4029509.0,9273169.0,936143.84,1068005.26,1220153.0,1033236.92,Active,1.0,,,,unresolvable,1088291.5799999998,55054.6599999998,0.0532836747645446,True,,,,,False,True,False,False,True,False,False,False,False,True,False,True,True,7814.694485842027,6005.229508196721,13819.923994038749,1395.147302533532,1591.662086438152,1818.4098360655737,1539.8463785394931,15411.5860804769,20.367553578988723,11.51715513865864,10.327698123520452,Q1,Q5,Q5,Q5
57,57,02M183,P.S. 183 Robert L. Stevenson,2019,2.0,Elementary School,554.0,M,True,0.159,0.027,0.085,0.06,0.67,0.0589999999999999,0.179,0.061,12.1%,6.9%,0.069,7922145.0,4908629.0,3013516.0,7922145.0,558046.28,551132.32,227436.0,6906.96,Active,1.0,,,,unresolvable,234349.96000000008,227443.0000000001,32.92953774164033,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,8860.341155234657,5439.559566787004,14299.90072202166,1007.3037545126356,994.8236823104692,410.5342960288809,12.467436823104691,15294.72440433213,11.227825936733046,6.956857265298728,6.504358339589904,Q1,Q5,Q5,Q4
59,59,02M212,P.S. 212 Midtown West,2019,2.0,Elementary School,363.0,M,True,0.165,0.069,0.234,0.069,0.463,0.069,0.124,0.022,20.9%,25.4%,0.254,4321537.0,2866091.0,1455446.0,4321537.0,214533.0,216240.0,297788.14,341884.0,Active,1.0,,,,unresolvable,296081.14,45802.859999999986,0.1339719320003275,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,7895.567493112948,4009.4931129476586,11905.060606060606,591.0,595.702479338843,820.353002754821,941.8292011019284,12500.763085399449,7.544770909227934,5.00377527717569,4.765328926476554,Q1,Q5,Q5,Q5
63,63,02M255,M.S. 255 Salk School of Science,2019,2.0,Middle/Junior High School,394.0,M,True,0.183,0.02,0.096,0.081,0.619,0.082,0.155,0.003,14.7%,14.2%,0.142,5098097.0,4119684.0,978413.0,5098097.0,218177.0,159786.0,429418.0,58391.0,Active,1.0,,,,unresolvable,487809.0,429418.0,7.354181295062595,True,,,,,False,True,False,False,False,False,False,False,False,True,False,True,True,10456.05076142132,2483.2817258883247,12939.332487309644,553.748730964467,405.5482233502538,1089.8934010152284,148.2005076142132,13344.880710659898,3.8785984556097017,3.1342283208813013,3.038979756681539,Q1,Q5,Q5,Q5
71,71,02M289,I.S. 289,2019,2.0,Middle/Junior High School,284.0,M,True,0.486,0.042,0.148,0.028,0.296,0.028,0.229,0.049,52.8%,48.0%,0.48,4089506.0,3296791.0,792715.0,4089506.0,174937.51,143031.8,160804.93,31905.71,Active,1.0,,,,unresolvable,192710.64,160804.93000000002,5.040004751500594,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,11608.419014084508,2791.25,14399.669014084508,615.977147887324,503.6330985915493,566.2145422535211,112.34404929577464,14903.302112676058,4.338515847683398,3.497532464801372,3.37933898664768,Q1,Q5,Q5,Q5
92,92,02M397,Spruce Street School,2019,2.0,K-8 School,560.0,M,True,0.164,0.039,0.159,0.105,0.532,0.1059999999999999,0.22,0.025,17.7%,16.8%,0.168,7843287.0,5860963.0,1982324.0,7843287.0,46566.58,438361.17,451912.85,27303.41,Active,1.0,,,,unresolvable,60118.26000000001,32814.850000000006,1.2018590351901102,True,,,,,False,True,False,False,False,False,False,False,False,True,False,True,True,10466.005357142858,3539.864285714286,14005.869642857142,83.15460714285715,782.7878035714285,806.9872321428571,48.75608928571429,14788.657446428571,7.479336928078201,5.588998209551685,5.293163401796626,Q1,Q4,Q5,Q5
105,105,02M422,Quest to Learn,2019,2.0,Junior-Senior High School,545.0,M,True,0.13,0.217,0.431,0.037,0.185,0.037,0.283,0.042,72.8%,67.1%,0.6709999999999999,9288624.0,6931930.0,2356694.0,9288624.0,27630.02,27088.21,26640.0,10541.81,Active,1.0,,,,unresolvable,27181.810000000005,16640.000000000007,1.5784765614254106,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,12719.1376146789,4324.209174311926,17043.346788990824,50.69728440366973,49.703137614678894,48.88073394495413,19.342770642201835,17093.049926605505,0.3907744307862312,0.2916278019220069,0.2907798071619474,Q2,Q4,Q4,Q4
144,144,02M896,Lower Manhattan Community Middle School,2019,2.0,Middle/Junior High School,385.0,M,True,0.431,0.101,0.158,0.039,0.27,0.0399999999999999,0.294,0.06,55.3%,54.6%,0.546,6265162.0,4569604.0,1695558.0,6265162.0,248963.74,218216.3,248963.74,30747.44,Active,1.0,,,,unresolvable,279711.18,248963.74,8.097055884977742,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,11869.101298701298,4404.046753246753,16273.148051948052,646.6590649350649,566.7955844155844,646.6590649350649,79.86348051948052,16839.943636363634,4.775387539051524,3.4830112932434947,3.365780768954975,Q1,Q5,Q5,Q5
146,146,03M009,P.S. 009 Sarah Anderson,2019,3.0,Elementary School,611.0,M,True,0.085,0.047,0.182,0.093,0.592,0.0939999999999999,0.195,0.023,22.1%,18.0%,0.18,8928191.0,5734665.0,3193526.0,8928191.0,783805.0,821096.0,0.0,37291.0,Active,1.0,,,,unresolvable,-37291.0,74582.0,2.0,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,9385.703764320786,5226.720130932897,14612.423895253682,1282.823240589198,1343.8559738134206,0.0,61.03273322422259,15956.279869067104,14.318116228236525,9.196667051589731,8.42211332992864,Q1,Q5,Q5,Q5
