,Unnamed: 0,dbn,school_name_x,year,district,school_type,total_enrollment,borough,in_sample,p_asian,p_black,p_hispanic,p_multiple_race_categories_not_represented,p_white,p_other_race,p_students_with_disabilities,p_english_language_learners,p_poverty,economic_need_index,eni_n,weighted_register_allocation,total_fsf_allocations,non_fsf_budget_allocations,total_budget_allocation,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,pta_category,pta_active,p_multi_racial,p_native_american,p_missing_race_ethnicity_data,correction_applied,pta_end_balance_implied,pta_end_balance_diff,pta_end_balance_pct_diff,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff,ets_balance_pct_diff,ets_balance_diff_cat,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag,pp_fsf,pp_non_fsf,pp_total_public,pp_pta_income,pp_pta_expenditure,pp_pta_start_balance,pp_pta_end_balance,pp_total_funding,pta_expenditure_as_p_of_fsf,pta_expenditure_as_p_of_public,pta_expenditure_as_p_of_total,eni_quintile,pp_pta_income_quintile,pp_pta_expenditure_quintile,pp_pta_end_balance_quintile
12,12,01M292,Orchard Collegiate Academy,2019,1.0,Senior High School,197.0,M,True,0.096,0.269,0.569,0.036,0.03,0.036,0.289,0.117,82.7%,87.5%,0.875,4644494.0,2937090.0,1707404.0,4644494.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,14909.086294416244,8667.02538071066,23576.111675126904,,,,,,,,,Q4,,,
14,14,01M332,University Neighborhood Middle School,2019,1.0,Middle/Junior High School,209.0,M,True,0.086,0.196,0.627,0.01,0.081,0.01,0.45,0.033,84.2%,81.6%,0.816,6279521.0,3143404.0,3136117.0,6279521.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,15040.21052631579,15005.344497607655,30045.555023923444,,,,,,,,,Q3,,,
16,16,01M363,Neighborhood School,2019,1.0,Elementary School,306.0,M,True,0.069,0.088,0.376,0.046,0.422,0.045,0.235,0.013,41.2%,46.0%,0.46,5238230.0,3131112.0,2107118.0,5238230.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10232.392156862745,6886.006535947712,17118.398692810457,,,,,,,,,Q1,,,
18,18,01M378,School for Global Leaders,2019,1.0,Middle/Junior High School,250.0,M,True,0.128,0.236,0.564,0.032,0.04,0.032,0.388,0.1,85.2%,84.9%,0.8490000000000001,5666067.0,3883534.0,1782533.0,5666067.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,15534.136,7130.132,22664.268,,,,,,,,,Q4,,,
32,32,02M011,P.S. 011 William T. Harris,2019,2.0,Elementary School,888.0,M,True,0.154,0.057,0.243,0.084,0.461,0.0849999999999999,0.159,0.033,31.9%,34.1%,0.341,11301664.0,7838331.0,3463333.0,11301664.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,8826.949324324325,3900.149774774775,12727.0990990991,,,,,,,,,Q1,,,
36,36,02M042,P.S. 042 Benjamin Altman,2019,2.0,Elementary School,574.0,M,True,0.866,0.014,0.075,0.005,0.04,0.005,0.185,0.326,72.8%,79.9%,0.799,11258318.0,5978741.0,5279577.0,11258318.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10415.925087108011,9197.869337979097,19613.794425087108,,,,,,,,,Q3,,,
41,41,02M089,P.S. 89,2019,2.0,Elementary School,456.0,M,True,0.191,0.015,0.118,0.083,0.592,0.084,0.162,0.061,9.0%,9.5%,0.095,7220634.0,4293309.0,2927325.0,7220634.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,9415.151315789471,6419.5723684210525,15834.723684210529,,,,,,,,,Q1,,,
45,45,02M116,P.S. 116 Mary Lindley Murray,2019,2.0,Elementary School,504.0,M,True,0.222,0.089,0.196,0.065,0.427,0.066,0.181,0.05,33.3%,34.5%,0.345,8139138.0,4488425.0,3650713.0,8139138.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,8905.605158730159,7243.478174603175,16149.083333333334,,,,,,,,,Q1,,,
64,64,02M260,The Clinton School,2019,2.0,Junior-Senior High School,726.0,M,True,0.127,0.04,0.124,0.073,0.636,0.0729999999999999,0.165,0.003,17.2%,21.0%,0.21,9004112.0,7481593.0,1522519.0,9004112.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10305.224517906336,2097.133608815427,12402.358126721763,,,,,,,,,Q1,,,
80,80,02M308,Lower Manhattan Arts Academy,2019,2.0,Senior High School,290.0,M,True,0.086,0.276,0.559,0.052,0.028,0.0509999999999999,0.366,0.069,75.9%,81.8%,0.818,5795989.0,3937783.0,1858206.0,5795989.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,13578.562068965515,6407.606896551724,19986.16896551724,,,,,,,,,Q3,,,
